Loan ($)	Payments ($)	Payments Made	Auction ($)
85600	985.87	1	16900
115300	902.56	33	75800
103100	736.28	6	43900
84600	945.45	9	16600
97600	821.07	24	40700
104400	983.27	26	63100
113800	1075.54	19	72600
116400	1087.16	35	72300
100000	900.01	33	58100
92800	683.11	36	37100
105200	915.24	34	52600
105900	905.67	38	51900
94700	810.7	25	43200
105600	891.33	20	52600
104100	864.38	7	42700
85700	1074.73	30	22200
113600	871.61	24	77000
119400	1021.23	58	69000
90600	836.46	3	35600
104500	1056.37	22	63000
