Income	Value	Education	Age	Mortgage	Gender
100.7	190	14	53	230	1
99.0	121	15	49	370	1
102.0	161	14	44	397	1
100.7	161	14	39	181	1
100.0	179	14	53	378	0
95.2	99	14	46	304	0
101.0	114	15	42	285	1
101.8	202	14	49	551	0
102.0	184	13	37	370	0
92.7	90	14	43	135	0
99.8	181	14	48	332	1
101.0	143	15	54	217	1
95.0	132	14	44	490	0
97.5	127	14	37	220	0
98.8	153	14	50	270	1
101.5	145	14	50	279	1
100.7	174	15	52	329	1
100.2	177	15	47	274	0
104.3	188	15	49	433	1
100.2	153	15	53	333	1
101.5	150	16	58	148	0
101.0	173	13	42	390	1
102.3	163	14	46	142	1
100.2	150	15	50	343	0
96.3	139	14	45	373	0
