연도 월 자치구명 발생건수 사망자수 부상자수
2015 1 종로구 88 0 119
2015 2 종로구 82 1 114
2015 3 종로구 121 0 181
2015 4 종로구 136 0 188
2015 5 종로구 137 0 192
2015 6 종로구 100 0 149
2015 7 종로구 111 2 154
2015 8 종로구 113 1 148
2015 9 종로구 141 1 173
2015 10 종로구 137 0 179
2015 11 종로구 127 1 169
2015 12 종로구 121 2 167
2015 1 중구 86 1 127
2015 2 중구 78 0 105
2015 3 중구 113 0 153
2015 4 중구 125 0 183
2015 5 중구 128 0 170
2015 6 중구 99 0 144
2015 7 중구 106 0 141
2015 8 중구 116 1 144
2015 9 중구 107 1 151
2015 10 중구 130 2 162
2015 11 중구 139 0 180
2015 12 중구 111 3 143
2015 1 용산구 118 2 176
2015 2 용산구 102 1 145
2015 3 용산구 135 2 179
2015 4 용산구 111 1 144
2015 5 용산구 137 1 187
2015 6 용산구 121 1 169
2015 7 용산구 127 2 162
2015 8 용산구 117 1 162
2015 9 용산구 157 3 212
2015 10 용산구 137 2 195
2015 11 용산구 141 0 217
2015 12 용산구 113 2 162
2015 1 성동구 87 1 114
2015 2 성동구 80 1 108
2015 3 성동구 94 1 142
2015 4 성동구 104 0 146
2015 5 성동구 110 0 136
2015 6 성동구 86 0 107
2015 7 성동구 113 1 156
2015 8 성동구 113 3 156
2015 9 성동구 136 0 205
2015 10 성동구 105 0 159
2015 11 성동구 106 0 148
2015 12 성동구 93 1 148
2015 1 광진구 79 1 128
2015 2 광진구 69 1 110
2015 3 광진구 83 0 119
2015 4 광진구 109 1 159
2015 5 광진구 111 3 155
2015 6 광진구 99 1 140
2015 7 광진구 116 3 164
2015 8 광진구 111 1 141
2015 9 광진구 139 2 188
2015 10 광진구 129 0 186
2015 11 광진구 106 4 139
2015 12 광진구 84 0 115
2015 1 동대문구 137 3 172
2015 2 동대문구 123 2 177
2015 3 동대문구 187 1 249
2015 4 동대문구 174 2 235
2015 5 동대문구 190 0 247
2015 6 동대문구 156 1 199
2015 7 동대문구 185 1 254
2015 8 동대문구 163 0 203
2015 9 동대문구 175 0 237
2015 10 동대문구 181 1 242
2015 11 동대문구 202 3 251
2015 12 동대문구 212 2 265
2015 1 중랑구 124 0 189
2015 2 중랑구 103 0 160
2015 3 중랑구 143 1 179
2015 4 중랑구 143 0 188
2015 5 중랑구 160 3 217
2015 6 중랑구 160 2 213
2015 7 중랑구 128 1 158
2015 8 중랑구 136 1 175
2015 9 중랑구 150 3 191
2015 10 중랑구 148 2 176
2015 11 중랑구 164 2 216
2015 12 중랑구 163 1 207
2015 1 성북구 100 4 144
2015 2 성북구 106 1 141
2015 3 성북구 154 0 199
2015 4 성북구 120 0 167
2015 5 성북구 160 5 231
2015 6 성북구 131 1 184
2015 7 성북구 143 2 186
2015 8 성북구 139 0 181
2015 9 성북구 166 2 230
2015 10 성북구 163 0 218
2015 11 성북구 162 1 217
2015 12 성북구 136 3 188
2015 1 강북구 80 1 106
2015 2 강북구 70 3 117
2015 3 강북구 101 4 130
2015 4 강북구 105 1 143
2015 5 강북구 102 0 137
2015 6 강북구 132 1 169
2015 7 강북구 103 1 144
2015 8 강북구 104 0 140
2015 9 강북구 120 2 144
2015 10 강북구 113 2 154
2015 11 강북구 119 0 148
2015 12 강북구 116 1 152
2015 1 도봉구 63 0 101
2015 2 도봉구 62 1 84
2015 3 도봉구 61 0 92
2015 4 도봉구 89 1 130
2015 5 도봉구 69 1 90
2015 6 도봉구 81 3 100
2015 7 도봉구 78 0 105
2015 8 도봉구 74 0 97
2015 9 도봉구 69 1 90
2015 10 도봉구 96 0 128
2015 11 도봉구 80 0 115
2015 12 도봉구 92 1 123
2015 1 노원구 116 0 165
2015 2 노원구 107 2 169
2015 3 노원구 122 1 167
2015 4 노원구 122 1 161
2015 5 노원구 147 3 218
2015 6 노원구 100 0 156
2015 7 노원구 117 0 168
2015 8 노원구 127 0 202
2015 9 노원구 144 2 196
2015 10 노원구 105 3 147
2015 11 노원구 141 3 186
2015 12 노원구 111 0 163
2015 1 은평구 79 1 130
2015 2 은평구 86 2 118
2015 3 은평구 98 0 123
2015 4 은평구 100 2 148
2015 5 은평구 103 0 150
2015 6 은평구 108 3 139
2015 7 은평구 104 2 148
2015 8 은평구 119 1 162
2015 9 은평구 121 0 173
2015 10 은평구 109 2 145
2015 11 은평구 80 2 106
2015 12 은평구 96 1 131
2015 1 서대문구 77 3 115
2015 2 서대문구 67 1 116
2015 3 서대문구 95 0 135
2015 4 서대문구 94 2 145
2015 5 서대문구 81 1 100
2015 6 서대문구 79 0 105
2015 7 서대문구 97 1 120
2015 8 서대문구 88 0 115
2015 9 서대문구 101 2 135
2015 10 서대문구 102 1 139
2015 11 서대문구 97 0 145
2015 12 서대문구 93 2 122
2015 1 마포구 124 0 198
2015 2 마포구 116 0 184
2015 3 마포구 152 5 214
2015 4 마포구 150 1 215
2015 5 마포구 148 2 220
2015 6 마포구 172 0 283
2015 7 마포구 132 2 189
2015 8 마포구 152 0 228
2015 9 마포구 172 1 246
2015 10 마포구 166 2 257
2015 11 마포구 167 2 271
2015 12 마포구 151 2 225
2015 1 양천구 122 0 177
2015 2 양천구 97 0 134
2015 3 양천구 119 0 176
2015 4 양천구 132 2 206
2015 5 양천구 131 1 172
2015 6 양천구 142 4 172
2015 7 양천구 138 1 185
2015 8 양천구 126 0 166
2015 9 양천구 144 0 221
2015 10 양천구 153 2 219
2015 11 양천구 168 4 245
2015 12 양천구 124 0 158
2015 1 강서구 128 0 203
2015 2 강서구 125 0 161
2015 3 강서구 130 1 217
2015 4 강서구 178 1 240
2015 5 강서구 160 1 216
2015 6 강서구 146 0 192
2015 7 강서구 178 0 239
2015 8 강서구 173 2 235
2015 9 강서구 174 5 297
2015 10 강서구 167 1 238
2015 11 강서구 201 1 278
2015 12 강서구 172 0 246
2015 1 구로구 114 5 148
2015 2 구로구 109 2 141
2015 3 구로구 107 0 135
2015 4 구로구 124 2 185
2015 5 구로구 139 3 200
2015 6 구로구 121 0 175
2015 7 구로구 160 0 224
2015 8 구로구 139 0 205
2015 9 구로구 112 0 157
2015 10 구로구 140 2 231
2015 11 구로구 135 4 189
2015 12 구로구 108 1 137
2015 1 금천구 76 3 127
2015 2 금천구 61 0 95
2015 3 금천구 81 0 107
2015 4 금천구 78 0 119
2015 5 금천구 81 1 116
2015 6 금천구 73 1 93
2015 7 금천구 83 0 137
2015 8 금천구 73 1 104
2015 9 금천구 91 2 143
2015 10 금천구 82 0 142
2015 11 금천구 48 1 68
2015 12 금천구 87 1 123
2015 1 영등포구 147 5 253
2015 2 영등포구 155 4 221
2015 3 영등포구 186 2 254
2015 4 영등포구 197 1 285
2015 5 영등포구 219 0 317
2015 6 영등포구 213 2 325
2015 7 영등포구 241 1 340
2015 8 영등포구 246 1 352
2015 9 영등포구 216 2 296
2015 10 영등포구 215 1 297
2015 11 영등포구 211 4 317
2015 12 영등포구 216 5 307
2015 1 동작구 101 0 167
2015 2 동작구 88 0 138
2015 3 동작구 96 2 129
2015 4 동작구 119 0 150
2015 5 동작구 137 1 187
2015 6 동작구 110 2 158
2015 7 동작구 120 0 159
2015 8 동작구 119 1 187
2015 9 동작구 116 1 165
2015 10 동작구 124 0 161
2015 11 동작구 134 0 205
2015 12 동작구 122 0 188
2015 1 관악구 139 2 180
2015 2 관악구 96 1 128
2015 3 관악구 128 0 168
2015 4 관악구 140 0 187
2015 5 관악구 157 1 198
2015 6 관악구 123 1 153
2015 7 관악구 142 0 186
2015 8 관악구 136 1 175
2015 9 관악구 125 0 174
2015 10 관악구 157 4 209
2015 11 관악구 144 1 193
2015 12 관악구 138 1 184
2015 1 서초구 138 2 218
2015 2 서초구 134 0 188
2015 3 서초구 189 0 297
2015 4 서초구 182 4 281
2015 5 서초구 192 0 279
2015 6 서초구 202 1 318
2015 7 서초구 183 2 335
2015 8 서초구 185 1 290
2015 9 서초구 174 1 280
2015 10 서초구 197 3 314
2015 11 서초구 208 3 309
2015 12 서초구 176 3 249
2015 1 강남구 309 1 453
2015 2 강남구 287 2 424
2015 3 강남구 345 5 552
2015 4 강남구 322 1 473
2015 5 강남구 303 1 438
2015 6 강남구 296 0 433
2015 7 강남구 377 0 535
2015 8 강남구 320 2 435
2015 9 강남구 306 2 411
2015 10 강남구 371 3 499
2015 11 강남구 360 1 513
2015 12 강남구 374 2 520
2015 1 송파구 217 1 301
2015 2 송파구 182 1 254
2015 3 송파구 212 2 313
2015 4 송파구 227 1 307
2015 5 송파구 245 1 318
2015 6 송파구 231 2 336
2015 7 송파구 230 1 315
2015 8 송파구 242 3 348
2015 9 송파구 216 1 293
2015 10 송파구 253 1 365
2015 11 송파구 229 1 324
2015 12 송파구 203 1 289
2015 1 강동구 118 2 167
2015 2 강동구 97 0 152
2015 3 강동구 132 2 193
2015 4 강동구 125 3 171
2015 5 강동구 122 2 194
2015 6 강동구 109 1 130
2015 7 강동구 135 3 176
2015 8 강동구 136 2 206
2015 9 강동구 139 1 195
2015 10 강동구 140 2 220
2015 11 강동구 125 3 166
2015 12 강동구 116 2 159
