GU_NM,FLY_GBN,LON,LAT
구로구,구립도서관,126.8901147,37.4872202
용산구,교육청도서관,126.9813754,37.5526641
중구,구립도서관,127.0092967,37.5490198
노원구,구립도서관,127.0641766,37.6609272
노원구,교육청도서관,127.0671201,37.6401198
영등포구,국립도서관,126.9154463,37.5310184
강남구,구립도서관,127.0372538,37.5172967
강남구,구립도서관,127.0293224,37.5138831
영등포구,구립도서관,126.8961134,37.5043064
도봉구,구립도서관,127.0428925,37.6830061
도봉구,구립도서관,127.0439924,37.6446234
도봉구,구립도서관,127.0495252,37.6590604
동대문구,구립도서관,127.0470717,37.5897125
동대문구,교육청도서관,127.0244416,37.5734481
동작구,교육청도서관,126.9401862,37.505941
동작구,구립도서관,126.9510154,37.5068307
동작구,구립도서관,126.9435076,37.509247
마포구,교육청도서관,126.9242601,37.5542748
마포구,교육청도서관,126.9572509,37.5538813
강동구,사립도서관,127.1462857,37.5469102
양천구,구립도서관,126.8845477,37.5380496
은평구,구립도서관,126.9288643,37.6441855
성북구,구립도서관,127.013878,37.6114642
서대문구,구립도서관,126.9561863,37.5742189
서대문구,구립도서관,126.9240523,37.5783461
서대문구,교육청도서관,126.9409449,37.5833349
성동구,구립도서관,127.0349464,37.5592205
성동구,구립도서관,127.0514013,37.566794
성북구,구립도서관,127.0507685,37.6050106
관악구,구립도서관,126.9561938,37.4879038
송파구,구립도서관,127.0942417,37.5072611
송파구,구립도서관,127.1566588,37.4923438
송파구,구립도서관,127.0788864,37.5031104
강북구,구립도서관,127.0124531,37.6204648
강북구,구립도서관,127.0299963,37.6183286
송파구,교육청도서관,127.132203,37.5020202
강북구,구립도서관,127.0175968,37.6300973
양천구,구립도서관,126.8272134,37.5385639
송파구,구립도서관,127.1029993,37.5223964
구로구,구립도서관,126.8800275,37.5103706
양천구,구립도서관,126.8401072,37.5247099
관악구,장애인도서관,126.9411673,37.4830291
양천구,교육청도서관,126.8761133,37.5335106
송파구,구립도서관,127.1468657,37.4935564
종로구,교육청도서관,126.9694277,37.5755988
강남구,구립도서관,127.033267,37.4953609
서대문구,장애인도서관,126.9569695,37.5598013
영등포구,교육청도서관,126.9073206,37.5265658
구로구,사립도서관,126.8420458,37.4972061
용산구,교육청도서관,126.9800852,37.5520252
노원구,구립도서관,127.0561254,37.6286468
관악구,구립도서관,126.9424414,37.4853163
송파구,장애인도서관,127.1054731,37.5076383
광진구,구립도서관,127.0662761,37.5341084
종로구,교육청도서관,126.9830603,37.5807822
관악구,구립도서관,126.9078109,37.4825669
중구,장애인도서관,127.0151009,37.564611
강남구,구립도서관,127.0318622,37.4964971
용산구,구립도서관,126.9675901,37.5539407
구로구,구립도서관,126.8810689,37.4874492
도봉구,구립도서관,127.0280481,37.6620823
종로구,사립도서관,126.9758654,37.6135092
종로구,사립도서관,126.9644748,37.5736992
강동구,장애인도서관,127.1690355,37.5509755
강동구,장애인도서관,127.1248541,37.5507513
중구,사립도서관,127.0021852,37.5607023
종로구,장애인도서관,126.9684952,37.5799087
관악구,구립도서관,126.9596849,37.4862716
강남구,구립도서관,127.06419,37.502264
서대문구,구립도서관,126.9490191,37.6018183
노원구,사립도서관,127.0830758,37.6215908
종로구,사립도서관,126.9677116,37.5674981
종로구,사립도서관,126.988469,37.5796317
강남구,교육청도서관,127.0469178,37.5141849
강동구,구립도서관,127.1333637,37.5528498
강동구,교육청도서관,127.1444989,37.5382713
강북구,구립도서관,127.0216737,37.6230214
강서구,구립도서관,126.8352176,37.5446849
강서구,구립도서관,126.8136943,37.5787175
중랑구,구립도서관,127.0869524,37.615223
강서구,구립도서관,126.8733534,37.547372
강서구,교육청도서관,126.8600493,37.5478785
강서구,구립도서관,126.8418772,37.5482606
강서구,장애인도서관,126.8129924,37.557399
구로구,구립도서관,126.8584513,37.4894351
구로구,구립도서관,126.855919,37.4967594
양천구,구립도서관,126.8566488,37.5259811
강동구,교육청도서관,127.1586759,37.55819
관악구,구립도서관,126.9448219,37.4675179
광진구,구립도서관,127.0919242,37.5380446
광진구,구립도서관,127.1106233,37.551086
구로구,구립도서관,126.8865661,37.4897246
구로구,구립도서관,126.8859668,37.4968983
서초구,구립도서관,127.0276677,37.4918414
강남구,국립도서관,127.0299974,37.5009676
서초구,국립도서관,127.0068555,37.5031397
구로구,구립도서관,126.8455808,37.5070156
금천구,구립도서관,126.8954275,37.4568239
금천구,구립도서관,126.892143,37.4735048
강남구,교육청도서관,127.0661566,37.4827975
중랑구,구립도서관,127.0875714,37.5873606
구로구,교육청도서관,126.8917265,37.4985063
금천구,구립도서관,126.9080938,37.4675043
강남구,구립도서관,127.0653462,37.4974237
마포구,구립도서관,126.9321082,37.5477386
성동구,구립도서관,127.036764,37.5632196
송파구,구립도서관,127.0824397,37.5121155
성북구,구립도서관,127.0139189,37.5999225
강동구,구립도서관,127.1333734,37.5328634
은평구,구립도서관,126.9196622,37.5860076
강남구,장애인도서관,127.0750581,37.4925052
성북구,구립도서관,127.0103373,37.5948102
강동구,구립도서관,127.126428,37.5443792
도봉구,교육청도서관,127.0136459,37.6530591
영등포구,구립도서관,126.8919345,37.5161859
종로구,교육청도서관,126.9672786,37.5759389
성북구,구립도서관,127.0351141,37.5990022
강남구,구립도서관,127.046398,37.5190781
광진구,구립도서관,127.0847506,37.5678029
중구,구립도서관,127.0189687,37.5617256
강남구,구립도서관,127.0578717,37.4997499
은평구,구립도서관,126.9076434,37.5828043
강남구,구립도서관,127.0493385,37.5250944
